ID,x,y,rotation_angle
26,56.79000,33.12750,0
27,104.11500,33.12750,0
19,33.12750,47.91656,0
20,56.79000,56.79000,0
21,80.45250,47.91656,0
22,104.11500,56.79000,0
23,127.77750,47.91656,0
12,33.12750,89.32594,0
13,56.79000,80.45250,0
14,80.45250,89.32594,0
15,104.11500,80.45250,0
16,127.77750,89.32594,0
8,56.79000,104.11500,0
9,104.11500,104.11500,0
